"par1","par2","par3","par4","par5","par6","par7","ncmt"
"ka","cl","q","q2","v","vp","vp2","3"
"cl","q","q2","v","vp","vp2","","3"
"ka","cl","q","q2","vc","vp","vp2","3"
"cl","q","q2","vc","vp","vp2","","3"
"ka","cl","q1","q2","v","vp","vp2","3"
"cl","q1","q2","v","vp","vp2","","3"
"ka","cl","q1","q2","vc","vp","vp2","3"
"cl","q1","q2","vc","vp","vp2","","3"
"ka","cl","cld","cld2","v","vp","vp2","3"
"cl","cld","cld2","v","vp","vp2","","3"
"ka","cl","cld","cld2","vc","vp","vp2","3"
"cl","cld","cld2","vc","vp","vp2","","3"
"ka","cl","q","q2","v","v2","v3","3"
"cl","q","q2","v","v2","v3","","3"
"ka","cl","q","q2","v2","v3","vc","3"
"cl","q","q2","v2","v3","vc","","3"
"ka","cl","q","q2","v1","v2","v3","3"
"cl","q","q2","v1","v2","v3","","3"
"ka","cl","q1","q2","v","v2","v3","3"
"cl","q1","q2","v","v2","v3","","3"
"ka","cl","q1","q2","v2","v3","vc","3"
"cl","q1","q2","v2","v3","vc","","3"
"ka","cl","q1","q2","v1","v2","v3","3"
"cl","q1","q2","v1","v2","v3","","3"
"ka","cl","q2","v2","v3","","","2"
"cl","q2","v2","v3","","","","2"
"ka","cl","q2","v3","vss","","","2"
"cl","q2","v3","vss","","","","2"
"ka","cl","q2","v","v3","","","2"
"cl","q2","v","v3","","","","2"
"ka","cl","q2","v3","vc","","","2"
"cl","q2","v3","vc","","","","2"
"ka","cl","q2","v1","v3","","","2"
"cl","q2","v1","v3","","","","2"
"ka","cl","cld","cld2","v","v2","v3","3"
"cl","cld","cld2","v","v2","v3","","3"
"ka","cl","cld","cld2","v2","v3","vc","3"
"cl","cld","cld2","v2","v3","vc","","3"
"ka","cl","cld","cld2","v1","v2","v3","3"
"cl","cld","cld2","v1","v2","v3","","3"
"ka","cl","q","v2","v3","","","2"
"cl","q","v2","v3","","","","2"
"ka","cl","q1","v2","v3","","","2"
"cl","q1","v2","v3","","","","2"
"ka","cl","cld","v2","v3","","","2"
"cl","cld","v2","v3","","","","2"
"ka","cl","q","v3","vss","","","2"
"cl","q","v3","vss","","","","2"
"ka","cl","q1","v3","vss","","","2"
"cl","q1","v3","vss","","","","2"
"ka","cl","cld","v3","vss","","","2"
"cl","cld","v3","vss","","","","2"
"ka","cl","q","v","v3","","","2"
"cl","q","v","v3","","","","2"
"ka","cl","q","v3","vc","","","2"
"cl","q","v3","vc","","","","2"
"ka","cl","q","v1","v3","","","2"
"cl","q","v1","v3","","","","2"
"ka","cl","q1","v","v3","","","2"
"cl","q1","v","v3","","","","2"
"ka","cl","q1","v3","vc","","","2"
"cl","q1","v3","vc","","","","2"
"ka","cl","q1","v1","v3","","","2"
"cl","q1","v1","v3","","","","2"
"ka","cl","cld","v","v3","","","2"
"cl","cld","v","v3","","","","2"
"ka","cl","cld","v3","vc","","","2"
"cl","cld","v3","vc","","","","2"
"ka","cl","cld","v1","v3","","","2"
"cl","cld","v1","v3","","","","2"
"ka","cl","v3","","","","","1"
"cl","v3","","","","","","1"
"ka","cl","q","q2","v","vt","vt2","3"
"cl","q","q2","v","vt","vt2","","3"
"ka","cl","q","q2","vc","vt","vt2","3"
"cl","q","q2","vc","vt","vt2","","3"
"ka","cl","q1","q2","v","vt","vt2","3"
"cl","q1","q2","v","vt","vt2","","3"
"ka","cl","q1","q2","vc","vt","vt2","3"
"cl","q1","q2","vc","vt","vt2","","3"
"ka","cl","cld","cld2","v","vt","vt2","3"
"cl","cld","cld2","v","vt","vt2","","3"
"ka","cl","cld","cld2","vc","vt","vt2","3"
"cl","cld","cld2","vc","vt","vt2","","3"
"ka","cl","q2","v","v2","","","2"
"cl","q2","v","v2","","","","2"
"ka","cl","q2","v2","vc","","","2"
"cl","q2","v2","vc","","","","2"
"ka","cl","q2","v1","v2","","","2"
"cl","q2","v1","v2","","","","2"
"ka","cl","q2","v","vp","","","2"
"cl","q2","v","vp","","","","2"
"ka","cl","q2","vc","vp","","","2"
"cl","q2","vc","vp","","","","2"
"ka","cl","q2","v","vt","","","2"
"cl","q2","v","vt","","","","2"
"ka","cl","q2","vc","vt","","","2"
"cl","q2","vc","vt","","","","2"
"ka","cl","q2","v","vss","","","2"
"cl","q2","v","vss","","","","2"
"ka","cl","q2","vc","vss","","","2"
"cl","q2","vc","vss","","","","2"
"ka","cl","q2","v1","vss","","","2"
"cl","q2","v1","vss","","","","2"
"ka","cl","q","v","v2","","","2"
"cl","q","v","v2","","","","2"
"ka","cl","q","v2","vc","","","2"
"cl","q","v2","vc","","","","2"
"ka","cl","q","v1","v2","","","2"
"cl","q","v1","v2","","","","2"
"ka","cl","q1","v","v2","","","2"
"cl","q1","v","v2","","","","2"
"ka","cl","q1","v2","vc","","","2"
"cl","q1","v2","vc","","","","2"
"ka","cl","q1","v1","v2","","","2"
"cl","q1","v1","v2","","","","2"
"ka","cl","cld","v","v2","","","2"
"cl","cld","v","v2","","","","2"
"ka","cl","cld","v2","vc","","","2"
"cl","cld","v2","vc","","","","2"
"ka","cl","cld","v1","v2","","","2"
"cl","cld","v1","v2","","","","2"
"ka","cl","v2","","","","","1"
"cl","v2","","","","","","1"
"ka","cl","q","v","vp","","","2"
"cl","q","v","vp","","","","2"
"ka","cl","q","vc","vp","","","2"
"cl","q","vc","vp","","","","2"
"ka","cl","q1","v","vp","","","2"
"cl","q1","v","vp","","","","2"
"ka","cl","q1","vc","vp","","","2"
"cl","q1","vc","vp","","","","2"
"ka","cl","cld","v","vp","","","2"
"cl","cld","v","vp","","","","2"
"ka","cl","cld","vc","vp","","","2"
"cl","cld","vc","vp","","","","2"
"ka","cl","q","v","vt","","","2"
"cl","q","v","vt","","","","2"
"ka","cl","q","vc","vt","","","2"
"cl","q","vc","vt","","","","2"
"ka","cl","q1","v","vt","","","2"
"cl","q1","v","vt","","","","2"
"ka","cl","q1","vc","vt","","","2"
"cl","q1","vc","vt","","","","2"
"ka","cl","cld","v","vt","","","2"
"cl","cld","v","vt","","","","2"
"ka","cl","cld","vc","vt","","","2"
"cl","cld","vc","vt","","","","2"
"ka","cl","q","v","vss","","","2"
"cl","q","v","vss","","","","2"
"ka","cl","q","vc","vss","","","2"
"cl","q","vc","vss","","","","2"
"ka","cl","q","v1","vss","","","2"
"cl","q","v1","vss","","","","2"
"ka","cl","q1","v","vss","","","2"
"cl","q1","v","vss","","","","2"
"ka","cl","q1","vc","vss","","","2"
"cl","q1","vc","vss","","","","2"
"ka","cl","q1","v1","vss","","","2"
"cl","q1","v1","vss","","","","2"
"ka","cl","cld","v","vss","","","2"
"cl","cld","v","vss","","","","2"
"ka","cl","cld","vc","vss","","","2"
"cl","cld","vc","vss","","","","2"
"ka","cl","cld","v1","vss","","","2"
"cl","cld","v1","vss","","","","2"
"ka","cl","v","","","","","1"
"cl","v","","","","","","1"
"ka","cl","vc","","","","","1"
"cl","vc","","","","","","1"
"ka","cl","v1","","","","","1"
"cl","v1","","","","","","1"
